male,height,weight,group
0,63.2,168.7,A
0,68.7,169.8,A
0,64.8,176.6,A
0,67.9,246.8,A
1,68.9,151.6,A
1,67.8,158,A
1,68.2,168.6,A
0,64.8,137.2,A
1,64.3,177,A
0,64.7,128,A
1,66.9,168.4,A
1,66.9,136.2,B
1,67.1,160.3,B
1,70.2,233.9,B
1,67.4,171.7,B
1,71.1,185.5,B
0,63.4,177.6,B
1,66.9,132.9,B
0,71,140.1,B
1,70.4,151.9,B
0,59.5,147.2,B
1,70.4,159,B
0,61.5,113,B
1,74.5,194.5,B
0,65.3,145.1,B
1,68.8,196.5,B
0,67.2,148.9,B
1,68.7,132.9,B
0,60,168.4,C
0,62.5,146.2,C
1,72,236.4,C
1,67.9,140,C
1,65.1,156.2,C
1,63.5,178.7,D
1,68.2,147.5,D
0,64.6,97.7,D
1,68.1,189.6,D
0,66.2,221.9,D
0,62.8,168.1,D
0,65.3,143.1,D
0,65.8,217.7,D
0,68.7,133.2,D
0,63.8,96.5,D
1,70.6,270.6,D
0,61.5,137.2,D
0,61.9,124.2,D
0,65.1,128.3,D
1,68.7,203.6,D
0,57.6,132.4,D
1,66.3,189.4,D
1,69,174,D
0,63.4,163.3,E
1,69.5,183.5,E
1,67.8,193.8,E
0,61.6,119.7,E
1,71.2,157.4,E
1,67.4,146.1,E
0,66.1,128.3,E
1,70.7,179.1,E
0,67,140,E
1,66.8,202.2,E
1,69.9,169.4,E
0,57.7,122.8,E
0,62.5,248.5,E
1,66.6,154.4,E
0,60.6,140.2,E
1,70.4,141.6,E
0,66.4,144.4,E
0,62.3,116.2,E
1,73.3,175,E
